Month,Year,USD_EUR
01,1979,0.743957
02,1979,0.748288
03,1979,0.750013
04,1979,0.761488
05,1979,0.770240
06,1979,0.763344
07,1979,0.738676
08,1979,0.740369
09,1979,0.729563
10,1979,0.730788
11,1979,0.726931
12,1979,0.711453
01,1980,0.706348
02,1980,0.714838
03,1980,0.754906
04,1980,0.765616
05,1980,0.732058
06,1980,0.721121
07,1980,0.712573
08,1980,0.728434
09,1980,0.728943
10,1980,0.747560
11,1980,0.779311
12,1980,0.799397
01,1981,0.813140
02,1981,0.869804
03,1981,0.866418
04,1981,0.890718
05,1981,0.945136
06,1981,0.980246
07,1981,1.007479
08,1981,1.033774
09,1981,0.977640
10,1981,0.950698
11,1981,0.941413
12,1981,0.957169
01,1982,0.971916
02,1982,1.006310
03,1982,1.025688
04,1982,1.040659
05,1982,1.003347
06,1982,1.064222
07,1982,1.086098
08,1982,1.093443
09,1982,1.107160
10,1982,1.120988
11,1982,1.134617
12,1982,1.079381
01,1983,1.066787
02,1983,1.084942
03,1983,1.088073
04,1983,1.110417
05,1983,1.123667
06,1983,1.159048
07,1983,1.177005
08,1983,1.216254
09,1983,1.216960
10,1983,1.193595
11,1983,1.228123
12,1983,1.259576
01,1984,1.287442
02,1984,1.246302
03,1984,1.198483
04,1984,1.218650
05,1984,1.265454
12,1984,1.433962
06,1984,1.261179
07,1984,1.310675
08,1984,1.328601
09,1984,1.393439
10,1984,1.418950
11,1984,1.383003
01,1985,1.462488
02,1985,1.521453
03,1985,1.531414
04,1985,1.430855
05,1985,1.439019
06,1985,1.416899
07,1985,1.350530
08,1985,1.299447
09,1985,1.322452
10,1985,1.233940
11,1985,1.209892
12,1985,1.176971
01,1986,1.147305
02,1986,1.097072
03,1986,1.066980
04,1986,1.075707
05,1986,1.055219
06,1986,1.059406
07,1986,1.025179
08,1986,0.988511
09,1986,0.979435
10,1986,0.963717
11,1986,0.973777
12,1986,0.957451
01,1987,0.901382
02,1987,0.884427
03,1987,0.887110
04,1987,0.876441
05,1987,0.866650
06,1987,0.881335
07,1987,0.894854
08,1987,0.901320
09,1987,0.879233
10,1987,0.874121
11,1987,0.820973
12,1987,0.797034
01,1988,0.803217
02,1988,0.827156
03,1988,0.818358
04,1988,0.815388
05,1988,0.824872
06,1988,0.854195
07,1988,0.897939
08,1988,0.919861
09,1988,0.912045
10,1988,0.890237
11,1988,0.855078
12,1988,0.857694
01,1989,0.892510
02,1989,0.902977
03,1989,0.908990
04,1989,0.910943
05,1989,0.946890
06,1989,0.964789
07,1989,0.922316
08,1989,0.936288
09,1989,0.949492
10,1989,0.912572
11,1989,0.895568
12,1989,0.854610
01,1990,0.831557
02,1990,0.821553
03,1990,0.833346
04,1990,0.822406
05,1990,0.810402
06,1990,0.818985
07,1990,0.795947
08,1990,0.763772
09,1990,0.764535
10,1990,0.742864
11,1990,0.726277
12,1990,0.734785
01,1991,0.738770
02,1991,0.724403
03,1991,0.786801
04,1991,0.830437
05,1991,0.837258
06,1991,0.871496
07,1991,0.873783
08,1991,0.852923
09,1991,0.830439
10,1991,0.827451
11,1991,0.796267
12,1991,0.767502
01,1992,0.771851
02,1992,0.792764
03,1992,0.813017
04,1992,0.806417
05,1992,0.791859
06,1992,0.769378
07,1992,0.729568
08,1992,0.712412
09,1992,0.717896
10,1992,0.745022
11,1992,0.795176
12,1992,0.796750
01,1993,0.814974
02,1993,0.831858
03,1993,0.836104
04,1993,0.809984
05,1993,0.812354
06,1993,0.834728
07,1993,0.871460
08,1993,0.875528
09,1993,0.839746
10,1993,0.850624
11,1993,0.878425
12,1993,0.879084
01,1994,0.892145
02,1994,0.888127
03,1994,0.867895
04,1994,0.868330
05,1994,0.850217
06,1994,0.836172
07,1994,0.808046
08,1994,0.806858
09,1994,0.799167
10,1994,0.783657
11,1994,0.794771
12,1994,0.813265
01,1995,0.795863
02,1995,0.783221
03,1995,0.746196
04,1995,0.732183
05,1995,0.743333
06,1995,0.737157
07,1995,0.728778
08,1995,0.752840
09,1995,0.762114
10,1995,0.741735
11,1995,0.739928
12,1995,0.750924
01,1996,0.758029
02,1996,0.760900
03,1996,0.765195
04,1996,0.775367
05,1996,0.788358
06,1996,0.785362
07,1996,0.773985
08,1996,0.765263
09,1996,0.775252
10,1996,0.784003
11,1996,0.775522
12,1996,0.794113
01,1997,0.817998
02,1997,0.856468
03,1997,0.867644
04,1997,0.874124
05,1997,0.871415
06,1997,0.882293
07,1997,0.913215
08,1997,0.938876
09,1997,0.912505
10,1997,0.895985
11,1997,0.882941
12,1997,0.905767
01,1998,0.925947
02,1998,0.926156
03,1998,0.931539
04,1998,0.926072
05,1998,0.906782
06,1998,0.914278
07,1998,0.917680
08,1998,0.913006
09,1998,0.869513
10,1998,0.837804
11,1998,0.859614
12,1998,0.853966
01,1999,0.861346
02,1999,0.892360
03,1999,0.918917
04,1999,0.934256
05,1999,0.940975
06,1999,0.963647
07,1999,0.966283
08,1999,0.943179
09,1999,0.952413
10,1999,0.934114
11,1999,0.967446
12,1999,0.989415
01,2000,0.986733
02,2000,1.016965
03,2000,1.037009
04,2000,1.056359
05,2000,1.104009
06,2000,1.053652
07,2000,1.064348
08,2000,1.106222
09,2000,1.146944
10,2000,1.169830
11,2000,1.167826
12,2000,1.114927
01,2001,1.065941
02,2001,1.085116
03,2001,1.099929
04,2001,1.121523
05,2001,1.144229
06,2001,1.172155
07,2001,1.162160
08,2001,1.110822
09,2001,1.097800
10,2001,1.104050
11,2001,1.125615
12,2001,1.121414
01,2002,1.132378
02,2002,1.149406
03,2002,1.141855
04,2002,1.128958
05,2002,1.090641
06,2002,1.047030
07,2002,1.008023
08,2002,1.022781
09,2002,1.019648
10,2002,1.019279
11,2002,0.998690
