Date,USD,EUR
01/01/1979,226,137.06
01/02/1979,226.8,137.29
01/03/1979,218.6,134.01
01/04/1979,223.15,136.79
01/05/1979,225.5,138.35
01/08/1979,223.1,136.38
01/09/1979,224,137.29
01/10/1979,220.7,135.48
01/11/1979,220.65,135.94
01/12/1979,217.6,134.08
01/15/1979,216.85,133.83
01/16/1979,220.65,135.62
01/17/1979,227.25,139.22
01/18/1979,231.75,141.66
01/19/1979,230.55,141.14
01/22/1979,235,144
01/23/1979,230,141.14
01/24/1979,236.1,144.69
01/25/1979,233.85,143.98
01/26/1979,235.45,144.64
01/29/1979,235.2,145.25
01/30/1979,233.5,144.09
01/31/1979,233.7,144.84
02/01/1979,229.35,142.85
02/02/1979,230.3,143.48
02/05/1979,243.1,150.26
02/06/1979,244.5,150.8
02/07/1979,251.6,153.67
02/08/1979,250.5,153.49
02/09/1979,246.75,151.3
02/12/1979,244.25,150.01
02/13/1979,240.6,148.1
02/14/1979,240.65,148.25
02/15/1979,247.75,152.37
02/16/1979,247.05,152.19
02/19/1979,248.1,152.84
02/20/1979,247,152.24
02/21/1979,250.75,154.63
02/22/1979,252.35,155.4
02/23/1979,251,154.44
02/26/1979,248.6,152.73
02/27/1979,247.9,152.46
02/28/1979,251.3,154.64
03/01/1979,248.8,153.27
03/02/1979,248,152.83
03/05/1979,238.15,147.01
03/06/1979,239.75,147.91
03/07/1979,242.25,149.08
03/08/1979,239.2,147.09
03/09/1979,241,148.43
03/12/1979,240,148.01
03/13/1979,239.1,147.76
03/14/1979,239.5,147.76
03/15/1979,240.1,148.22
03/16/1979,244,150.77
03/19/1979,242.25,149.66
03/20/1979,242.1,149.41
03/21/1979,239.9,148.28
03/22/1979,242.85,149.85
03/23/1979,242.5,149.7
03/26/1979,245.25,150.98
03/27/1979,244.35,150.72
03/28/1979,244.4,150.69
03/29/1979,241.5,149.12
03/30/1979,240.1,148.04
04/02/1979,239.7,148.52
04/03/1979,240,148.77
04/04/1979,239.75,148.51
04/05/1979,240.65,149.14
04/06/1979,239.75,148.52
04/09/1979,240.2,149.87
04/10/1979,239.75,149.27
04/11/1979,238.35,148.25
04/12/1979,233.95,145.91
04/13/1979,233.95,145.88
04/16/1979,233.95,145.88
04/17/1979,231.9,144.82
04/18/1979,233.2,145.35
04/19/1979,240.9,149.87
04/20/1979,236.4,147.67
04/23/1979,236.85,147.78
04/24/1979,239.7,149.25
04/25/1979,241.8,150.41
04/26/1979,242.2,150.7
04/27/1979,243.7,151.15
04/30/1979,245.3,152.76
05/01/1979,247.3,152.8
05/02/1979,246.3,153.16
05/03/1979,246.5,153.28
05/04/1979,248.45,154.48
05/07/1979,248.45,154.48
05/08/1979,248.95,154.76
05/09/1979,247.95,154.12
05/10/1979,252.25,157.08
05/11/1979,251.5,156.73
05/14/1979,251,156.42
05/15/1979,255.5,159.57
05/16/1979,256.5,160.1
05/17/1979,256.8,160.68
05/18/1979,256.4,161.08
05/21/1979,262,164.85
05/22/1979,265.4,166.79
05/23/1979,264.15,165.89
05/24/1979,263.75,165.43
05/25/1979,270.6,170
05/28/1979,270.6,169.99
05/29/1979,273.8,172.21
05/30/1979,270.25,169.65
05/31/1979,274.6,172
06/01/1979,275.1,172.68
06/04/1979,272.9,171.04
06/05/1979,274.75,172.29
06/06/1979,280,175.7
06/07/1979,276.05,173.15
06/08/1979,280,175.45
06/11/1979,282.35,176.98
06/12/1979,277.75,173.99
06/13/1979,276.6,173.07
06/14/1979,279,174.47
